"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max"
"Convert to 16 bit","Audio@@Convert to 16 bit","Global + per-game","bool","bool","Audio@@Convert to 16 bit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Audio Format","Audio@@Audio Format","Global + per-game","enum","enum","Audio@@Audio Format","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Stereo","Stereo","Stereo|Surround 5.1|Surround 7.1|Automatic|Manual","",""
"Audio Formats","Audio@@Audio Formats","Global + per-game","uint","uint","Audio@@Audio Formats","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","255"
"Audio Channel Layout","Audio@@Audio Channel Layout","Global + per-game","enum","enum","Audio@@Audio Channel Layout","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Automatic","Automatic","Automatic|Mono|Stereo|Stereo LFE|Quadraphonic|Quadraphonic LFE|Surround 5.1|Surround 7.1","",""
"Audio Device","Audio@@Audio Device","Global + per-game","hidden","string","Audio@@Audio Device","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","@@@default@@@","@@@default@@@","","",""
"Master Volume","Audio@@Master Volume","Global + per-game","int","int","Audio@@Master Volume","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","100","100","","0","200"
"Enable Buffering","Audio@@Enable Buffering","Global + per-game","bool","bool","Audio@@Enable Buffering","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Desired Audio Buffer Duration","Audio@@Desired Audio Buffer Duration","Global + per-game","int","int","Audio@@Desired Audio Buffer Duration","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","100","100","","4","250"
"Enable Time Stretching","Audio@@Enable Time Stretching","Global + per-game","bool","bool","Audio@@Enable Time Stretching","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable Sampling Skip","Audio@@Disable Sampling Skip","Global + per-game","bool","bool","Audio@@Disable Sampling Skip","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Time Stretching Threshold","Audio@@Time Stretching Threshold","Global + per-game","int","int","Audio@@Time Stretching Threshold","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","75","75","","0","100"
"Microphone Type","Audio@@Microphone Type","Global + per-game","enum","enum","Audio@@Microphone Type","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|Standard|SingStar|Real SingStar|Rocksmith","",""
"Microphone Devices","Audio@@Microphone Devices","Global + per-game","hidden","string","Audio@@Microphone Devices","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","@@@@@@@@@@@@","@@@@@@@@@@@@","","",""
"Music Handler","Audio@@Music Handler","Global + per-game","enum","enum","Audio@@Music Handler","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Qt","Qt","Null|Qt","",""
"Keyboard","Input/Output@@Keyboard","Global + per-game","enum","enum","Input/Output@@Keyboard","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|Basic","",""
"Mouse","Input/Output@@Mouse","Global + per-game","enum","enum","Input/Output@@Mouse","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Basic","Basic","Null|Basic|Raw","",""
"Camera","Input/Output@@Camera","Global + per-game","enum","enum","Input/Output@@Camera","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|Fake|Qt","",""
"Camera type","Input/Output@@Camera type","Global + per-game","enum","enum","Input/Output@@Camera type","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Unknown","Unknown","Unknown|EyeToy|PS Eye|UVC 1.1","",""
"Camera flip","Input/Output@@Camera flip","Global + per-game","enum","enum","Input/Output@@Camera flip","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","None","None","None|Horizontal|Vertical|Both","",""
"Camera ID","Input/Output@@Camera ID","Global + per-game","hidden","string","Input/Output@@Camera ID","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","Default","Default","","",""
"Move","Input/Output@@Move","Global + per-game","enum","enum","Input/Output@@Move","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|Real|Fake|Mouse|Raw Mouse","",""
"Buzz emulated controller","Input/Output@@Buzz emulated controller","Global + per-game","enum","enum","Input/Output@@Buzz emulated controller","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|1 controller|2 controllers","",""
"Turntable emulated controller","Input/Output@@Turntable emulated controller","Global + per-game","enum","enum","Input/Output@@Turntable emulated controller","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|1 controller|2 controllers","",""
"GHLtar emulated controller","Input/Output@@GHLtar emulated controller","Global + per-game","enum","enum","Input/Output@@GHLtar emulated controller","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Null","Null","Null|1 controller|2 controllers","",""
"Pad handler mode","Input/Output@@Pad handler mode","Global + per-game","enum","enum","Input/Output@@Pad handler mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Single-threaded","Single-threaded","Single-threaded|Multi-threaded","",""
"Keep pads connected","Input/Output@@Keep pads connected","Global + per-game","bool","bool","Input/Output@@Keep pads connected","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","false","false","","",""
"Pad handler sleep (microseconds)","Input/Output@@Pad handler sleep (microseconds)","Global + per-game","uint","uint","Input/Output@@Pad handler sleep (microseconds)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","1000","1000","","0","100000"
"Background input enabled","Input/Output@@Background input enabled","Global + per-game","bool","bool","Input/Output@@Background input enabled","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show move cursor","Input/Output@@Show move cursor","Global + per-game","bool","bool","Input/Output@@Show move cursor","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Paint move spheres","Input/Output@@Paint move spheres","Global + per-game","bool","bool","Input/Output@@Paint move spheres","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Allow move hue set by game","Input/Output@@Allow move hue set by game","Global + per-game","bool","bool","Input/Output@@Allow move hue set by game","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Lock overlay input to player one","Input/Output@@Lock overlay input to player one","Global + per-game","bool","bool","Input/Output@@Lock overlay input to player one","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Emulated Midi devices","Input/Output@@Emulated Midi devices","Global + per-game","hidden","string","Input/Output@@Emulated Midi devices","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","ßßß@@@ßßß@@@ßßß@@@","ßßß@@@ßßß@@@ßßß@@@","","",""
"Load SDL GameController Mappings","Input/Output@@Load SDL GameController Mappings","Global + per-game","bool","bool","Input/Output@@Load SDL GameController Mappings","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"IO Debug overlay","Input/Output@@IO Debug overlay","Global + per-game","bool","bool","Input/Output@@IO Debug overlay","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Fake Move Rotation Cone","Input/Output@@Fake Move Rotation Cone","Global + per-game","uint","uint","Input/Output@@Fake Move Rotation Cone","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","10","10","","1","180"
"Fake Move Rotation Cone (Vertical)","Input/Output@@Fake Move Rotation Cone (Vertical)","Global + per-game","uint","uint","Input/Output@@Fake Move Rotation Cone (Vertical)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","10","10","","1","180"
"License Area","System@@License Area","Global + per-game","enum","enum","System@@License Area","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","SCEA","SCEA","SCEJ|SCEA|SCEE|SCEH|SCEK|SCH|Other","",""
"Language","System@@Language","Global + per-game","enum","enum","System@@Language","config.yml / custom_configs/config_<TITLE_ID>.yml","APP_RESTART","supported","Pad2 tree/type + native read-back","English (US)","English (US)","Japanese|English (US)|French|Spanish|German|Italian|Dutch|Portuguese (Portugal)|Russian|Korean|Chinese (Traditional)|Chinese (Simplified)|Finnish|Swedish|Danish|Norwegian|Polish|Portuguese (Brazil)|English (UK)|Turkish","",""
"Keyboard Type","System@@Keyboard Type","Global + per-game","enum","enum","System@@Keyboard Type","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","English keyboard (US standard)","English keyboard (US standard)","English keyboard (US standard)|Japanese keyboard|Japanese keyboard (Kana state)|German keyboard|Spanish keyboard|French keyboard|Italian keyboard|Dutch keyboard|Portuguese keyboard (Portugal)|Russian keyboard|English keyboard (UK standard)|Korean keyboard|Norwegian keyboard|Finnish keyboard|Danish keyboard|Swedish keyboard|Chinese keyboard (Traditional)|Chinese keyboard (Simplified)|French keyboard (Switzerland)|German keyboard (Switzerland)|French keyboard (Canada)|French keyboard (Belgium)|Polish keyboard|Portuguese keyboard (Brazil)|Turkish keyboard","",""
"Enter button assignment","System@@Enter button assignment","Global + per-game","enum","enum","System@@Enter button assignment","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Enter with cross","Enter with cross","Enter with circle|Enter with cross","",""
"Console time offset (s)","System@@Console time offset (s)","Global + per-game","int","int","System@@Console time offset (s)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","-3153600000","3153600000"
"System Name","System@@System Name","Global + per-game","hidden","string","System@@System Name","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","RPCS3-858","RPCS3-178","","",""
"PSID high","System@@PSID high","Global + per-game","uint","uint","System@@PSID high","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","18446744073709551615"
"PSID low","System@@PSID low","Global + per-game","uint","uint","System@@PSID low","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","18446744073709551615"
"HDD Model Name","System@@HDD Model Name","Global + per-game","hidden","string","System@@HDD Model Name","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"HDD Serial Number","System@@HDD Serial Number","Global + per-game","hidden","string","System@@HDD Serial Number","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"Process ARGV","System@@Process ARGV","Global + per-game","hidden","map","System@@Process ARGV","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","{}","null","","",""
"Internet enabled","Net@@Internet enabled","Global + per-game","enum","enum","Net@@Internet enabled","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Disconnected","Disconnected","Disconnected|Connected","",""
"IP address","Net@@IP address","Global + per-game","hidden","string","Net@@IP address","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","0.0.0.0","0.0.0.0","","",""
"Bind address","Net@@Bind address","Global + per-game","hidden","string","Net@@Bind address","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","0.0.0.0","0.0.0.0","","",""
"DNS address","Net@@DNS address","Global + per-game","hidden","string","Net@@DNS address","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","8.8.8.8","8.8.8.8","","",""
"IP swap list","Net@@IP swap list","Global + per-game","hidden","string","Net@@IP swap list","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"UPNP Enabled","Net@@UPNP Enabled","Global + per-game","bool","bool","Net@@UPNP Enabled","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"PSN status","Net@@PSN status","Global + per-game","enum","enum","Net@@PSN status","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Disconnected","Disconnected","Disconnected|Simulated|RPCN","",""
"PSN Country","Net@@PSN Country","Global + per-game","hidden","string","Net@@PSN Country","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","us","us","","",""
"Start Paused","Savestate@@Start Paused","Global + per-game","bool","bool","Savestate@@Start Paused","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Suspend Emulation Savestate Mode","Savestate@@Suspend Emulation Savestate Mode","Global + per-game","bool","bool","Savestate@@Suspend Emulation Savestate Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Compatible Savestate Mode","Savestate@@Compatible Savestate Mode","Global + per-game","bool","bool","Savestate@@Compatible Savestate Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Inspection Mode Savestates","Savestate@@Inspection Mode Savestates","Global + per-game","bool","bool","Savestate@@Inspection Mode Savestates","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Save Disc Game Data","Savestate@@Save Disc Game Data","Global + per-game","bool","bool","Savestate@@Save Disc Game Data","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Automatically start games after boot","Miscellaneous@@Automatically start games after boot","Global + per-game","bool","bool","Miscellaneous@@Automatically start games after boot","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Exit RPCS3 when process finishes","Miscellaneous@@Exit RPCS3 when process finishes","Global + per-game","bool","bool","Miscellaneous@@Exit RPCS3 when process finishes","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Pause emulation on RPCS3 focus loss","Miscellaneous@@Pause emulation on RPCS3 focus loss","Global + per-game","bool","bool","Miscellaneous@@Pause emulation on RPCS3 focus loss","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Start games in fullscreen mode","Miscellaneous@@Start games in fullscreen mode","Global + per-game","bool","bool","Miscellaneous@@Start games in fullscreen mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Prevent display sleep while running games","Miscellaneous@@Prevent display sleep while running games","Global + per-game","bool","bool","Miscellaneous@@Prevent display sleep while running games","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show trophy popups","Miscellaneous@@Show trophy popups","Global + per-game","bool","bool","Miscellaneous@@Show trophy popups","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show RPCN popups","Miscellaneous@@Show RPCN popups","Global + per-game","bool","bool","Miscellaneous@@Show RPCN popups","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show shader compilation hint","Miscellaneous@@Show shader compilation hint","Global + per-game","bool","bool","Miscellaneous@@Show shader compilation hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show PPU compilation hint","Miscellaneous@@Show PPU compilation hint","Global + per-game","bool","bool","Miscellaneous@@Show PPU compilation hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show autosave/autoload hint","Miscellaneous@@Show autosave/autoload hint","Global + per-game","bool","bool","Miscellaneous@@Show autosave/autoload hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Show pressure intensity toggle hint","Miscellaneous@@Show pressure intensity toggle hint","Global + per-game","bool","bool","Miscellaneous@@Show pressure intensity toggle hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show analog limiter toggle hint","Miscellaneous@@Show analog limiter toggle hint","Global + per-game","bool","bool","Miscellaneous@@Show analog limiter toggle hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Show mouse and keyboard toggle hint","Miscellaneous@@Show mouse and keyboard toggle hint","Global + per-game","bool","bool","Miscellaneous@@Show mouse and keyboard toggle hint","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Use native user interface","Miscellaneous@@Use native user interface","Global + per-game","bool","bool","Miscellaneous@@Use native user interface","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"GDB Server","Miscellaneous@@GDB Server","Global + per-game","hidden","string","Miscellaneous@@GDB Server","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","127.0.0.1:2345","127.0.0.1:2345","","",""
"Silence All Logs","Miscellaneous@@Silence All Logs","Global + per-game","bool","bool","Miscellaneous@@Silence All Logs","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Window Title Format","Miscellaneous@@Window Title Format","Global + per-game","hidden","string","Miscellaneous@@Window Title Format","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","FPS: %F | %R | %V | %T [%t]","FPS: %F | %R | %V | %T [%t]","","",""
"Pause Emulation During Home Menu","Miscellaneous@@Pause Emulation During Home Menu","Global + per-game","bool","bool","Miscellaneous@@Pause Emulation During Home Menu","config.yml / custom_configs/config_<TITLE_ID>.yml","LIVE","supported","Pad2 tree/type + native read-back","false","false","","",""
"Log","Log","Global + per-game","hidden","log_map","Log","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","null","null","","",""
