"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max"
"Disable FIFO Reordering","Video@@Disable FIFO Reordering","Global + per-game","bool","bool","Video@@Disable FIFO Reordering","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enable Frame Skip","Video@@Enable Frame Skip","Global + per-game","bool","bool","Video@@Enable Frame Skip","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Force CPU Blit","Video@@Force CPU Blit","Global + per-game","bool","bool","Video@@Force CPU Blit","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable On-Disk Shader Cache","Video@@Disable On-Disk Shader Cache","Global + per-game","bool","bool","Video@@Disable On-Disk Shader Cache","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable Vulkan Memory Allocator","Video@@Disable Vulkan Memory Allocator","Global + per-game","bool","bool","Video@@Disable Vulkan Memory Allocator","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Use full RGB output range","Video@@Use full RGB output range","Global + per-game","bool","bool","Video@@Use full RGB output range","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Strict Texture Flushing","Video@@Strict Texture Flushing","Global + per-game","bool","bool","Video@@Strict Texture Flushing","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Multithreaded RSX","Video@@Multithreaded RSX","Global + per-game","bool","bool","Video@@Multithreaded RSX","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Relaxed ZCULL Sync","Video@@Relaxed ZCULL Sync","Global + per-game","bool","bool","Video@@Relaxed ZCULL Sync","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Force Hardware MSAA Resolve","Video@@Force Hardware MSAA Resolve","Global + per-game","bool","bool","Video@@Force Hardware MSAA Resolve","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"3D Display Mode","Video@@3D Display Mode","Global + per-game","enum","enum","Video@@3D Display Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Disabled","Disabled","Disabled|Side-by-Side|Over-Under|Interlaced|Anaglyph Red-Green|Anaglyph Red-Blue|Anaglyph Red-Cyan|Anaglyph Magenta-Cyan|Anaglyph Trioscopic|Anaglyph Amber-Blue","",""
"Debug Program Analyser","Video@@Debug Program Analyser","Global + per-game","bool","bool","Video@@Debug Program Analyser","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Accurate ZCULL stats","Video@@Accurate ZCULL stats","Global + per-game","bool","bool","Video@@Accurate ZCULL stats","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Consecutive Frames To Draw","Video@@Consecutive Frames To Draw","Global + per-game","int","int","Video@@Consecutive Frames To Draw","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","1","1","","1","8"
"Consecutive Frames To Skip","Video@@Consecutive Frames To Skip","Global + per-game","int","int","Video@@Consecutive Frames To Skip","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","1","1","","1","8"
"Resolution Scale","Video@@Resolution Scale","Global + per-game","int","int","Video@@Resolution Scale","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","100","100","","25","800"
"Anisotropic Filter Override","Video@@Anisotropic Filter Override","Global + per-game","uint","uint","Video@@Anisotropic Filter Override","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","16"
