timestamp,08-31 14:14:12.027,1302,32.02244,33.304504
timestamp,08-31 14:14:13.288,1339,28.285698,33.354004
timestamp,08-31 14:14:14.552,1377,27.969854,33.31556
timestamp,08-31 14:14:15.856,1416,28.739853,33.346
timestamp,08-31 14:14:17.112,1454,28.095411,33.335445
timestamp,08-31 14:14:18.428,1494,31.997133,33.3598
timestamp,08-31 14:14:19.681,1531,28.744719,33.32955
timestamp,08-31 14:14:20.936,1569,31.355433,33.321903
timestamp,08-31 14:14:21.944,1599,31.184902,33.336502
timestamp,08-31 14:14:23.209,1637,31.340986,33.3389
timestamp,08-31 14:14:24.519,1676,30.294018,33.330364
timestamp,08-31 14:14:25.775,1714,31.180235,33.3567
timestamp,08-31 14:14:27.029,1752,31.44575,33.3785
timestamp,08-31 14:14:28.041,1782,31.170223,33.344498
timestamp,08-31 14:14:29.305,1820,31.56795,33.3301
timestamp,08-31 14:14:30.562,1858,31.422728,33.323902
timestamp,08-31 14:14:31.866,1897,31.643366,33.3229
timestamp,08-31 14:14:33.126,1935,31.747442,33.3592
timestamp,08-31 14:14:34.127,1964,29.534086,33.322002
timestamp,08-31 14:14:35.392,2003,31.679655,33.3282
timestamp,08-31 14:14:36.646,2040,28.516388,33.329334
timestamp,08-31 14:14:37.950,2079,28.456968,33.33745
timestamp,08-31 14:14:39.207,2117,31.360939,33.332203
timestamp,08-31 14:14:40.511,2156,30.59184,33.310455
timestamp,08-31 14:14:41.768,2194,31.597673,33.3368
timestamp,08-31 14:14:43.028,2232,31.853424,33.338
timestamp,08-31 14:14:44.337,2271,31.580908,33.3823
timestamp,08-31 14:14:45.592,2309,31.76499,33.319298
