timestamp,08-31 14:03:50.834,7456,32.00051,33.355297
timestamp,08-31 14:03:52.087,7493,28.679775,33.334667
timestamp,08-31 14:03:53.089,7523,28.792444,33.33511
timestamp,08-31 14:03:54.337,7561,32.415436,33.325
timestamp,08-31 14:03:55.594,7598,28.947191,33.318336
timestamp,08-31 14:03:56.904,7638,31.29479,33.334698
timestamp,08-31 14:03:58.160,7675,28.643446,33.31
timestamp,08-31 14:03:59.167,7705,29.514038,33.326546
timestamp,08-31 14:04:00.417,7743,28.802765,33.332108
timestamp,08-31 14:04:01.680,7781,28.823242,33.354782
timestamp,08-31 14:04:02.681,7811,31.867228,33.343002
timestamp,08-31 14:04:03.928,7848,28.771734,33.314777
timestamp,08-31 14:04:05.186,7886,28.985973,33.325222
timestamp,08-31 14:04:06.486,7925,28.60021,33.289112
timestamp,08-31 14:04:07.732,7963,32.33379,33.361298
timestamp,08-31 14:04:09.041,8002,32.52265,33.341297
timestamp,08-31 14:04:10.299,8039,28.316223,33.32089
timestamp,08-31 14:04:11.558,8077,29.073711,33.337444
timestamp,08-31 14:04:12.867,8116,28.518465,33.324886
timestamp,08-31 14:04:14.109,8154,29.176352,33.37633
timestamp,08-31 14:04:15.406,8193,29.268389,33.33167
timestamp,08-31 14:04:16.663,8230,28.944677,33.306667
timestamp,08-31 14:04:17.921,8268,28.62386,33.35634
timestamp,08-31 14:04:19.224,8307,28.814938,33.315887
timestamp,08-31 14:04:20.481,8345,28.898579,33.32511
timestamp,08-31 14:04:21.481,8375,29.774876,33.335545
