timestamp,08-31 14:14:12.021,1302,32.022,33.305
timestamp,08-31 14:14:13.275,1339,28.286,33.354
timestamp,08-31 14:14:14.538,1377,27.970,33.316
timestamp,08-31 14:14:15.844,1416,28.740,33.346
timestamp,08-31 14:14:17.101,1454,28.095,33.335
timestamp,08-31 14:14:18.105,1484,29.171,33.321
timestamp,08-31 14:14:19.358,1522,31.975,33.355
timestamp,08-31 14:14:20.607,1559,28.581,33.332
timestamp,08-31 14:14:21.610,1589,28.251,33.324
timestamp,08-31 14:14:22.877,1627,28.491,33.349
timestamp,08-31 14:14:24.143,1665,28.593,33.341
timestamp,08-31 14:14:25.442,1704,28.833,33.289
timestamp,08-31 14:14:26.702,1742,28.755,33.323
timestamp,08-31 14:14:27.706,1772,29.372,33.346
timestamp,08-31 14:14:28.980,1810,28.341,33.351
timestamp,08-31 14:14:30.230,1848,28.836,33.315
timestamp,08-31 14:14:31.540,1887,28.733,33.331
timestamp,08-31 14:14:32.799,1925,28.721,33.326
timestamp,08-31 14:14:34.112,1964,29.534,33.322
timestamp,08-31 14:14:35.381,2003,31.680,33.328
timestamp,08-31 14:14:36.639,2040,28.516,33.329
timestamp,08-31 14:14:37.943,2079,28.457,33.337
timestamp,08-31 14:14:39.198,2117,31.361,33.332
timestamp,08-31 14:14:40.500,2156,30.592,33.310
timestamp,08-31 14:14:41.755,2194,31.598,33.337
timestamp,08-31 14:14:43.017,2232,31.853,33.338
timestamp,08-31 14:14:44.328,2271,31.581,33.382
timestamp,08-31 14:14:45.584,2309,31.765,33.319
