timestamp,08-31 14:03:50.825,7456,32.001,33.355
timestamp,08-31 14:03:52.079,7493,28.680,33.335
timestamp,08-31 14:03:53.396,7533,31.255,33.331
timestamp,08-31 14:03:54.645,7570,27.895,33.351
timestamp,08-31 14:03:55.955,7609,29.620,33.338
timestamp,08-31 14:03:57.211,7647,28.461,33.334
timestamp,08-31 14:03:58.467,7685,31.722,33.356
timestamp,08-31 14:03:59.474,7715,31.112,33.312
timestamp,08-31 14:04:00.724,7753,31.208,33.324
timestamp,08-31 14:04:01.986,7790,28.283,33.309
timestamp,08-31 14:04:02.987,7820,28.189,33.323
timestamp,08-31 14:04:04.238,7858,31.200,33.333
timestamp,08-31 14:04:05.543,7897,29.686,33.345
timestamp,08-31 14:04:06.794,7935,31.587,33.348
timestamp,08-31 14:04:08.040,7972,28.581,33.352
timestamp,08-31 14:04:09.349,8011,28.103,33.341
timestamp,08-31 14:04:10.608,8049,31.178,33.335
timestamp,08-31 14:04:11.918,8088,29.868,33.333
timestamp,08-31 14:04:13.175,8126,31.109,33.311
timestamp,08-31 14:04:14.415,8163,28.813,33.329
timestamp,08-31 14:04:15.712,8202,28.814,33.343
timestamp,08-31 14:04:16.974,8240,30.645,33.321
timestamp,08-31 14:04:18.279,8279,29.658,33.313
timestamp,08-31 14:04:19.531,8317,31.537,33.326
timestamp,08-31 14:04:20.788,8354,28.222,33.293
timestamp,08-31 14:04:22.099,8394,32.047,33.327
