09-02 22:28:33.701 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 26 of 32 (34s remaining percent=81 max=100 session=S3-1788367015251-6524
09-02 22:28:39.911 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 27 of 32 (28s remaining))
09-02 22:28:39.915 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 27 of 32 (28s remaining percent=84 max=100 session=S3-1788367015251-6524
09-02 22:28:45.419 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 28 of 32 (22s remaining))
09-02 22:28:45.429 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 28 of 32 (22s remaining percent=87 max=100 session=S3-1788367015251-6524
09-02 22:28:50.689 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 29 of 32 (17s remaining))
09-02 22:28:50.691 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 29 of 32 (17s remaining percent=90 max=100 session=S3-1788367015251-6524
09-02 22:28:56.348 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 30 of 32 (11s remaining))
09-02 22:28:56.352 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 30 of 32 (11s remaining percent=93 max=100 session=S3-1788367015251-6524
09-02 22:29:02.338 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 31 of 32 (5s remaining))
09-02 22:29:02.341 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 31 of 32 (5s remaining) percent=96 max=100 session=S3-1788367015251-6524
09-02 22:29:08.527 28326 28390 D RPCS3   : S3PPU install_step=1 more_work=1 title=BLUS30443
09-02 22:29:08.530 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 32 of 32 (done) percent=100 max=100 session=S3-1788367015251-6524
09-02 22:29:08.531 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 32 of 32 (done))
