mode,boot_phase,log_time,native_fps,native_frametime_ms
60,fresh,09-01 20:01:53.233,60.161,16.674
60,fresh,09-01 20:01:54.488,59.560,17.046
60,fresh,09-01 20:01:55.741,60.144,17.176
60,fresh,09-01 20:01:57.040,60.778,16.993
60,fresh,09-01 20:01:58.302,56.974,17.051
60,fresh,09-01 20:01:59.605,58.665,16.971
60,fresh,09-01 20:02:00.836,57.985,17.190
60,fresh,09-01 20:02:02.076,57.984,17.047
60,fresh,09-01 20:02:03.370,58.129,17.133
60,fresh,09-01 20:02:04.607,57.524,16.994
60,fresh,09-01 20:02:05.913,59.032,17.001
60,fresh,09-01 20:02:07.163,57.031,17.151
60,fresh,09-01 20:02:08.413,60.192,17.210
60,fresh,09-01 20:02:09.715,60.206,17.263
60,fresh,09-01 20:02:10.964,60.033,17.215
60,fresh,09-01 20:02:12.266,59.164,16.963
60,fresh,09-01 20:02:13.507,58.342,16.685
60,fresh,09-01 20:02:14.737,58.277,16.721
60,fresh,09-01 20:01:53.233,60.161,16.674
60,fresh,09-01 20:01:54.488,59.560,17.046
60,fresh,09-01 20:01:55.741,60.144,17.176
60,fresh,09-01 20:01:57.040,60.778,16.993
60,fresh,09-01 20:01:58.302,56.974,17.051
60,fresh,09-01 20:01:59.605,58.665,16.971
60,fresh,09-01 20:02:00.836,57.985,17.190
60,fresh,09-01 20:02:02.076,57.984,17.047
60,fresh,09-01 20:02:03.370,58.129,17.133
60,fresh,09-01 20:02:04.607,57.524,16.994
60,fresh,09-01 20:02:05.913,59.032,17.001
60,fresh,09-01 20:02:07.163,57.031,17.151
60,fresh,09-01 20:02:08.413,60.192,17.210
60,fresh,09-01 20:02:09.715,60.206,17.263
60,fresh,09-01 20:02:10.964,60.033,17.215
60,fresh,09-01 20:02:12.266,59.164,16.963
60,fresh,09-01 20:02:13.507,58.342,16.685
60,fresh,09-01 20:02:14.737,58.277,16.721
